variant,threshold,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total
step1,0.01,200215.05495710953,24438.456992788728,107419.96238592613,0.8994872413163024,0.48239450201520934,0.21675239356878284,1.8646299606622436,7.737911594778175,0.07432788613600422,0.05819715340010543,0.8674749604638904,559.0,492.0,869.0,1920.0
step1,0.015,147128.42306356222,41956.2459082027,86503.14821762581,0.428832574870214,0.37653905437454394,0.20487518838115437,1.1388794067657417,2.3838347255666985,0.04417501317870322,0.030152872957301003,0.9256721138639958,362.0,265.0,576.0,1203.0
step1,0.02,142363.33356831953,65889.37371722225,66441.01946565232,0.38601222119446454,0.29938315399523713,0.21727076593139716,1.2893585228265902,2.290727632770698,0.02625197680548234,0.01845018450184502,0.9552978386926726,222.0,163.0,365.0,750.0
step1,0.025,135508.20487796032,83661.76074851686,43538.42547904187,0.32421828704143807,0.232004400938382,0.15801015907802252,1.3974661072379706,2.8674363099871116,0.015287295730100159,0.011702688455455983,0.9730100158144439,136.0,105.0,232.0,473.0
step1,0.03,124938.49588694534,92172.74429913895,29477.157864547105,0.228469797153521,0.20322501947751187,0.17476319286487574,1.1242208156304427,1.4697059345982888,0.009383236689509753,0.007590933052187665,0.9830258302583026,85.0,67.0,147.0,299.0
mean_horizon,0.01,167649.02068079522,19898.126036516373,96516.2140995098,0.6120788847787204,0.4891124133392219,0.2306194632659445,1.2514073822007368,3.321315660239826,0.07749077490774908,0.0580917237743806,0.8644175013178703,579.0,486.0,884.0,1949.0
mean_horizon,0.015,135946.82158240452,37923.434807199636,85653.30441340702,0.32817907082054365,0.39188559552976254,0.20961852026420325,0.8374359113069759,1.31109092315929,0.047337901950448076,0.030047443331576173,0.9226146547179758,375.0,263.0,582.0,1220.0
mean_horizon,0.02,147150.20595749342,66889.20322781496,67748.25128650376,0.42902807773022733,0.30025859153366286,0.1678939500955483,1.4288619537540452,3.6512447113912367,0.027622561939905112,0.018344754876120188,0.9540326831839747,231.0,163.0,372.0,766.0
mean_horizon,0.025,134794.01225676198,81083.91374137723,45781.198321975346,0.31776692382275096,0.23694685364556753,0.2015118182644352,1.3410894423526578,2.1147834917967407,0.016974169741697416,0.011702688455455983,0.9713231418028466,149.0,105.0,245.0,499.0
mean_horizon,0.03,117318.28827746228,85689.34930317548,29681.86082718947,0.1590607770885244,0.2025997677098374,0.19756776882163118,0.7850985165803873,0.6320787084003935,0.010015814443858724,0.007274644175013179,0.9827095413811281,91.0,66.0,152.0,309.0
