variant,threshold,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total
step1,0.01,155343.8050279856,46663.77717343975,82109.83777552695,0.6252654608225428,0.35188295109516676,0.18461270203759172,1.7769132004734145,6.018234059048836,0.050188679245283016,0.038616352201257864,0.9111949685534592,333.0,268.0,530.0,1131.0
step1,0.015,121010.88521091666,61776.14110807666,53860.817614249136,0.23402451640262467,0.267528435109782,0.217196898294573,0.8747650181805579,0.9425385995521529,0.02830188679245283,0.019119496855345912,0.9525786163522013,194.0,142.0,309.0,645.0
step1,0.02,118589.7934694697,77280.70075535178,38607.221531759824,0.20682962921351433,0.2228712194137969,0.1368442445562199,0.928023051866115,1.4026359993547735,0.01748427672955975,0.011823899371069183,0.970691823899371,127.0,87.0,202.0,416.0
step1,0.025,111028.21536759313,85596.57380879481,23874.755325170445,0.12226567244833042,0.17096824637923042,0.10556789436225866,0.7151367288234847,0.8282506113275473,0.009685534591194969,0.00830188679245283,0.9820125786163522,69.0,61.0,121.0,251.0
step1,0.03,103191.11237837904,86876.94252056758,15628.096128382069,0.03524287661687975,0.14274243171123444,0.11046827086311495,0.24689839029907729,0.07876840506536775,0.006163522012578616,0.005408805031446541,0.9884276729559749,46.0,40.0,82.0,168.0
mean_horizon,0.01,136543.42123836026,39171.29091176575,79730.29576277407,0.40978249819571344,0.3612158904623283,0.19976239453459532,1.1344531318132867,2.3271599217834305,0.05622641509433962,0.040377358490566034,0.9033962264150943,360.0,264.0,550.0,1174.0
mean_horizon,0.015,121059.26627799816,59973.68899983057,57287.568779664005,0.23456852920556104,0.27091932598120033,0.21076077041452057,0.8658242757544666,0.9636286986176384,0.031572327044025156,0.01949685534591195,0.9489308176100629,211.0,140.0,328.0,679.0
mean_horizon,0.02,110303.77856060467,70880.97099189794,38512.34369888844,0.11419439003319654,0.23867814989942313,0.1483036946960542,0.47844509470731633,0.3684044815367003,0.0189937106918239,0.01220125786163522,0.9688050314465408,132.0,89.0,206.0,427.0
mean_horizon,0.025,111241.56435976744,84230.40675580116,25449.045165566586,0.12464372324884887,0.17104443335365369,0.12339089480953103,0.7287213082879692,0.736120256004244,0.010691823899371069,0.00830188679245283,0.9810062893081761,76.0,63.0,130.0,269.0
mean_horizon,0.03,108041.62242712201,90235.46013207566,16710.84358224549,0.0890258223021192,0.1507455471856149,0.11047359859303352,0.5905701625302443,0.47591456253753855,0.007421383647798742,0.005031446540880503,0.9875471698113207,52.0,38.0,86.0,176.0
