variant,threshold,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total
step1,0.01,116612.91070063326,34750.41326125298,80774.69575056335,0.18461598799366952,0.371153544679388,0.26024857704043736,0.49741135613603144,0.3528552970264884,0.0534456740442656,0.04137323943661972,0.9051810865191147,333.0,272.0,542.0,1147.0
step1,0.015,129237.97277763537,66906.97284199494,55003.42662355711,0.3267526882819938,0.2640090715750809,0.20271946335142865,1.23765704842104,1.9949133697224863,0.029049295774647887,0.01886317907444668,0.9520875251509054,195.0,134.0,306.0,635.0
step1,0.02,106401.42759439907,69476.79597123498,35009.38980344024,0.07079244719860656,0.2381649142152446,0.1614340690832401,0.29724129362995494,0.13034695033112248,0.017605633802816902,0.012575452716297788,0.9698189134808853,122.0,91.0,200.0,413.0
step1,0.025,118535.76987926931,91384.6635744701,24823.37030224108,0.2061665751624593,0.16542070068986592,0.09813116578601888,1.2463166599021036,2.6184223460691904,0.009808853118712274,0.00829979879275654,0.9818913480885312,70.0,60.0,123.0,253.0
step1,0.03,102558.38331287383,86344.24580485211,15511.831434009882,0.028238763649060195,0.14602409459176627,0.11834643210073204,0.19338427488974458,0.046143620345125765,0.006413480885311872,0.005533199195171026,0.9880533199195171,46.0,40.0,82.0,168.0
