context_length,horizon,num_samples,starting_capital,threshold,fee_rate,runtime_seconds,model_path,equity_no_tc,equity_tc,fee,cum_fee,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total,data_rows,n_windows,device,run_name,model_family,source_path,variant,roi_no_tc,roi_tc,fee_impact,fee_ratio_vs_start,runtime_minutes,prediction_length,scale_inputs,normalize_inputs
512,3,10.0,100000.0,0.005,0.001,389.761469916004,amazon/chronos-t5-mini,714904.9129577997,4512.124736933358,0.0,227192.48013953964,714904.9129577997,4512.124736933358,227192.48013953964,5.158525133980637,0.627167410285786,0.2597417813092786,8.225116690342716,163.35250710602892,0.1777543489720611,0.16615709014233,0.6560885608856089,1277.0,1254.0,1684.0,4215.0,10000.0,9486.0,cpu,ctx512_h3_samp10,chronos,chronos-results/summary_ctx512.csv,summary,6.149049129577997,-0.9548787526306665,710392.7882208664,2.2719248013953965,6.496024498600066,,,
512,5,10.0,100000.0,0.005,0.001,468.8424177079869,amazon/chronos-t5-mini,654016.1028949962,3950.047369292467,0.0,204634.54295144536,654016.1028949962,3950.047369292467,204634.54295144536,4.6742327582341705,0.6308841466632115,0.3158419983659999,7.409019204170054,109.64811662059752,0.1808499420014763,0.1623958662870399,0.6567541917114837,1292.0,1261.0,1705.0,4258.0,10000.0,9484.0,cpu,ctx512_h5_samp10,chronos,chronos-results/summary_ctx512.csv,summary,5.540161028949962,-0.9604995263070754,650066.0555257037,2.0463454295144534,7.814040295133115,,,
512,3,5.0,100000.0,0.005,0.001,309.1940026250086,amazon/chronos-t5-mini,586636.6764034942,2900.328640996872,0.0,222756.87110905483,586636.6764034942,2900.328640996872,222756.87110905483,4.129904099799109,0.6390425923526467,0.3148955244988529,6.462642943085833,84.75857390689968,0.1905113336847654,0.1774380600948866,0.6320506062203479,1340.0,1313.0,1728.0,4381.0,10000.0,9486.0,cpu,ctx512_h3_samp5,chronos,chronos-results/summary_ctx512.csv,summary,4.866366764034942,-0.9709967135900313,583736.3477624974,2.2275687110905484,5.153233377083477,,,
512,1,10.0,100000.0,0.005,0.001,311.70017291701515,amazon/chronos-t5-mini,527003.2853514772,3410.510386103924,0.0,200810.3580190059,527003.2853514772,3410.510386103924,200810.3580190059,3.644540218432178,0.6248762946517794,0.3511568965392353,5.8324187517197235,60.53272745279974,0.1788763571202698,0.1624328027827553,0.6586908400969748,1277.0,1242.0,1695.0,4214.0,10000.0,9488.0,cpu,ctx512_h1_samp10,chronos,chronos-results/summary_ctx512.csv,summary,4.270032853514772,-0.9658948961389607,523592.7749653733,2.008103580190059,5.195002881950253,,,
512,20,10.0,100000.0,0.005,0.001,1108.9940301250026,amazon/chronos-t5-mini,505619.8617540888,3153.1398621790636,3.1562961583374007,213477.0177704627,505619.8617540888,3153.1398621790636,213477.0177704627,3.483591801513387,0.6362450893267767,0.2761067094388277,5.47523565989239,69.08012519840868,0.1777566539923954,0.1660329531051964,0.6562103929024081,1274.0,1263.0,1691.0,4228.0,10000.0,9469.0,cpu,ctx512_h20_samp10,chronos,chronos-results/summary_ctx512.csv,summary,4.056198617540888,-0.9684686013782093,502466.7218919097,2.134770177704627,18.48323383541671,,,
512,1,,100000.0,0.005,0.001,38.865876166004455,ibm-granite/granite-timeseries-ttm-r2,379269.4677465678,5137.5225300506145,5.134406310088452,207507.84324457755,379269.4677465678,5137.5225300506145,207507.84324457755,2.427185335604885,0.6347099724857865,0.3680614277960951,3.824085709728215,25.21797736950201,0.2205122799620533,0.1561083588067882,0.6233793612311584,1156.0,994.0,1625.0,3775.0,,,,ctx512_h1_scaleFalse,ttm,ttm-results/summary_ctx512.csv,summary,2.792694677465678,-0.9486247746994938,374131.9452165172,2.0750784324457756,0.6477646027667409,96.0,False,
512,5,5.0,100000.0,0.005,0.001,349.383304374991,amazon/chronos-t5-mini,318555.6343630028,1465.4471981748788,0.0,155967.43833724142,318555.6343630028,1465.4471981748788,155967.43833724142,1.9183031973041813,0.6590258325250026,0.2838515264260377,2.9108163938799825,19.67165181547952,0.1955077507118,0.1799008752504481,0.6245913740377518,1374.0,1315.0,1745.0,4434.0,10000.0,9484.0,cpu,ctx512_h5_samp5,chronos,chronos-results/summary_ctx512.csv,summary,2.185556343630028,-0.9853455280182513,317090.1871648279,1.5596743833724143,5.8230550729165165,,,
512,20,5.0,100000.0,0.005,0.001,794.8566198330082,amazon/chronos-t5-mini,186822.94297511305,1012.7169501611444,0.0,111693.05317933529,306970.668603713,1731.9130412961613,141250.56067633425,2.453290781889045,0.5183129443490826,0.1956842051637205,4.733223062700049,59.3403667844905,0.2644648934829194,0.2145468296987268,0.5209882768183537,1378.0,1209.0,1652.0,4239.0,10000.0,9469.0,cpu,ctx512_h20_samp5,chronos,chronos-results/ctx512_h20_samp5/metrics_sweep.csv,mean_horizon,2.06970668603713,-0.9826808695870384,305238.7555624168,1.4125056067633426,13.247610330550136,,,
512,1,5.0,100000.0,0.005,0.001,242.7026732499944,amazon/chronos-t5-mini,282534.5595895827,1389.9013662402576,0.0,144918.12345373043,282534.5595895827,1389.9013662402576,144918.12345373043,1.6108513785616756,0.6369793574545788,0.260840193517786,2.5288910224638497,15.617484156981984,0.1911036154738062,0.1775060609254769,0.6313903236007168,1338.0,1318.0,1746.0,4402.0,10000.0,9488.0,cpu,ctx512_h1_samp5,chronos,chronos-results/summary_ctx512.csv,summary,1.8253455958958273,-0.9861009863375975,281144.6582233425,1.4491812345373043,4.045044554166574,,,
512,5,10.0,100000.0,0.005,0.001,468.8424177079869,amazon/chronos-t5-mini,654016.1028949962,3950.047369292467,0.0,204634.54295144536,280539.0753079461,6323.771301667814,128429.83572652964,2.1195376544327553,0.5045308315970989,0.1702734663908287,4.201007196573758,52.293484877105115,0.1698540513336688,0.140790135883241,0.6893558127830901,995.0,900.0,1395.0,3290.0,10000.0,9484.0,cpu,ctx512_h5_samp10,chronos,chronos-results/ctx512_h5_samp10/metrics_sweep.csv,mean_horizon,1.805390753079461,-0.9367622869833219,274215.30400627834,1.2842983572652964,7.814040295133115,,,
512,1,5.0,100000.0,0.005,0.001,256.3014586250065,amazon/chronos-t5-mini,266099.82407328504,1340.8508966962072,0.0,111374.9196127026,266099.82407328504,1340.8508966962072,111374.9196127026,1.4702088419012167,0.6428591377633237,0.3517831315915933,2.286984434905072,9.558004450854249,0.1914198376726046,0.1776114683250764,0.6309686940023189,1337.0,1307.0,1723.0,4367.0,,,,ctx512_h1,chronos,chronos-results/ctx512_h1/summary_row.csv,summary,1.6609982407328503,-0.9865914910330379,264758.9731765888,1.1137491961270258,4.271690977083441,,,
512,5,,100000.0,0.005,0.001,40.23729916701268,ibm-granite/granite-timeseries-ttm-r2,244406.8306983875,17136.946603563556,0.0,165175.76910742573,244406.8306983875,17136.946603563556,165175.76910742573,1.284341959326189,0.741623647468367,0.3553661047760706,1.7317974739754656,6.2589541630126995,0.3381841189496994,0.260466097226616,0.4013497838236844,700.0,628.0,1060.0,2388.0,,,,ctx512_h5_scaleFalse,ttm,ttm-results/summary_ctx512.csv,summary,1.444068306983875,-0.8286305339643645,227269.88409482394,1.6517576910742573,0.6706216527835447,96.0,False,
512,5,10.0,100000.0,0.005,0.001,468.8424177079869,amazon/chronos-t5-mini,654016.1028949962,3950.047369292467,0.0,204634.54295144536,234304.77219797813,5837.370803243322,124103.5812642725,1.5575860492667166,0.4857436753728393,0.1456887824882837,3.206600781927155,34.28236929565351,0.1490941117262204,0.135883241066935,0.7150226472068445,931.0,914.0,1350.0,3195.0,10000.0,9484.0,cpu,ctx512_h5_samp10,chronos,chronos-results/ctx512_h5_samp10/metrics_sweep.csv,step1,1.3430477219797812,-0.9416262919675668,228467.4013947348,1.241035812642725,7.814040295133115,,,
512,3,10.0,100000.0,0.005,0.001,389.761469916004,amazon/chronos-t5-mini,714904.9129577997,4512.124736933358,0.0,227192.48013953964,232141.2316457226,5995.617267610862,127649.43318135006,1.530960513734458,0.4768571851819899,0.1423801627683522,3.2105220625965303,34.52154015517902,0.1456603773584905,0.1379874213836478,0.7163522012578616,919.0,908.0,1339.0,3166.0,10000.0,9486.0,cpu,ctx512_h3_samp10,chronos,chronos-results/ctx512_h3_samp10/metrics_sweep.csv,step1,1.3214123164572262,-0.9400438273238914,226145.61437811176,1.2764943318135007,6.496024498600066,,,
512,1,5.0,100000.0,0.005,0.001,256.3014586250065,amazon/chronos-t5-mini,266099.82407328504,1340.8508966962072,0.0,111374.9196127026,227852.72485513752,4559.397860685122,123574.3916175874,1.4788891938494966,0.4925110442085759,0.1537068291523399,3.002753362061043,28.89097070987051,0.1600855130784708,0.1483903420523138,0.6915241448692153,993.0,962.0,1402.0,3357.0,,,,ctx512_h1,chronos,chronos-results/ctx512_h1/metrics_sweep.csv,step1,1.2785272485513755,-0.9544060213931488,223293.3269944524,1.235743916175874,4.271690977083441,,,
512,3,10.0,100000.0,0.005,0.001,389.761469916004,amazon/chronos-t5-mini,714904.9129577997,4512.124736933358,0.0,227192.48013953964,205832.64934888575,5210.841002417465,127122.78808500862,1.2165970091335914,0.4939332156920865,0.1999933744396204,2.4630799680659803,14.983374978307712,0.1569811320754717,0.1374842767295597,0.7055345911949685,948.0,889.0,1354.0,3191.0,10000.0,9486.0,cpu,ctx512_h3_samp10,chronos,chronos-results/ctx512_h3_samp10/metrics_sweep.csv,mean_horizon,1.0583264934888574,-0.9478915899758253,200621.8083464683,1.2712278808500863,6.496024498600066,,,
512,3,5.0,100000.0,0.005,0.001,309.1940026250086,amazon/chronos-t5-mini,586636.6764034942,2900.328640996872,0.0,222756.87110905483,203917.00826568832,4027.6401774183832,126534.42549880076,1.193861534535379,0.4877916884417994,0.1437582311131433,2.4474823225238773,20.325479652131197,0.160125786163522,0.150817610062893,0.6890566037735849,991.0,970.0,1392.0,3353.0,10000.0,9486.0,cpu,ctx512_h3_samp5,chronos,chronos-results/ctx512_h3_samp5/metrics_sweep.csv,step1,1.039170082656883,-0.9597235982258162,199889.36808826993,1.2653442549880076,5.153233377083477,,,
512,1,10.0,100000.0,0.005,0.001,311.70017291701515,amazon/chronos-t5-mini,527003.2853514772,3410.510386103924,0.0,200810.3580190059,201895.68649105227,5251.152027045001,128065.45334735162,1.169472824369362,0.4845437077839862,0.1603006630297055,2.4135548673572353,17.60807955595061,0.1471327967806841,0.136066398390342,0.7168008048289738,921.0,903.0,1345.0,3169.0,10000.0,9488.0,cpu,ctx512_h1_samp10,chronos,chronos-results/ctx512_h1_samp10/metrics_sweep.csv,step1,1.0189568649105225,-0.94748847972955,196644.53446400727,1.2806545334735162,5.195002881950253,,,
512,3,,100000.0,0.01,0.001,653.7327857500059,,200215.05495710953,24438.456992788728,0.0,107419.96238592612,200215.05495710953,24438.456992788728,107419.96238592612,0.8994872413163024,0.4823945020152093,0.2167523935687828,1.8646299606622436,7.737911594778175,0.0743278861360042,0.0581971534001054,0.8674749604638904,559.0,492.0,869.0,1920.0,,,,ctx512_h3_normTrue,timesfm,timesfm-results/ctx512_h3_normTrue/summary_row.csv,summary,1.0021505495710952,-0.7556154300721127,175776.5979643208,1.0741996238592613,10.895546429166764,,,True
512,5,,100000.0,0.01,0.001,677.4645859579905,,200215.05495710953,24438.456992788728,0.0,107419.96238592612,200215.05495710953,24438.456992788728,107419.96238592612,0.8997442829767752,0.4824453543683249,0.2167523935687828,1.864966207737305,7.74151858592525,0.0743435621638722,0.0582094273963935,0.8674470104397343,559.0,492.0,869.0,1920.0,,,,ctx512_h5_normTrue,timesfm,timesfm-results/ctx512_h5_normTrue/summary_row.csv,summary,1.0021505495710952,-0.7556154300721127,175776.5979643208,1.0741996238592613,11.291076432633174,,,True
512,1,,100000.0,0.01,0.001,642.4083436250221,,200215.05495710953,24438.456992788728,0.0,107419.96238592612,200215.05495710953,24438.456992788728,107419.96238592612,0.8992303427887935,0.4823436657390437,0.2167523935687828,1.8642938772938975,7.734307311379483,0.0743122167176135,0.0581848845788974,0.867502898703489,559.0,492.0,869.0,1920.0,,,,ctx512_h1_normTrue,timesfm,timesfm-results/ctx512_h1_normTrue/summary_row.csv,summary,1.0021505495710952,-0.7556154300721127,175776.5979643208,1.0741996238592613,10.706805727083701,,,True
512,20,,100000.0,0.01,0.001,656.7172725410201,,200215.05495710953,24438.456992788728,0.0,107419.96238592612,200215.05495710953,24438.456992788728,107419.96238592612,0.9016766696542012,0.4828272603260132,0.2167523935687828,1.8674932915870857,7.768657609889114,0.0744613434727503,0.0583016476552598,0.8672370088719898,559.0,492.0,869.0,1920.0,,,,ctx512_h20_normTrue,timesfm,timesfm-results/ctx512_h20_normTrue/summary_row.csv,summary,1.0021505495710952,-0.7556154300721127,175776.5979643208,1.0741996238592613,10.945287875683668,,,True
