context_length,horizon,num_samples,starting_capital,threshold,fee_rate,runtime_seconds,model_path,equity_no_tc,equity_tc,fee,cum_fee,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total,data_rows,n_windows,device,run_name,model_family,source_path,variant,roi_no_tc,roi_tc,fee_impact,fee_ratio_vs_start,runtime_minutes,feature_cols,use_future_covariates,cross_learning,n_windows_total,n_windows_kept,prediction_length,scale_inputs,normalize_inputs,freq,rope_scale,model_id,patch_size,batch_size,repo_id,mu,sigma
1024,20,,100000.0,0.03,0.001,1006.695190041035,,182427.35902246373,31480.309428571203,0.0,109526.86269926451,105898.2677035375,85145.94770419366,19169.075407861572,0.0576947359223365,0.1480037092816701,0.1333098797187544,0.3898195268372364,0.1687086861505922,0.0069227333631085,0.0058061634658329,0.9872711031710584,59.0,50.0,106.0,215.0,,,,ctx1024_h20_normTrue,timesfm,timesfm-results/ctx1024_h20_normTrue/metrics_sweep.csv,step1,0.058982677035374964,-0.14854052295806341,20752.319999343832,0.19169075407861572,16.77825316735058,,,,,,,,True,,,,,,,,
1024,1,,100000.0,0.03,0.001,928.9276425419956,,182427.35902246373,31480.309428571203,0.0,109526.86269926451,105898.2677035375,85145.94770419366,19169.075407861572,0.0575691465796268,0.1478469686321402,0.1333098797187544,0.3893833408439056,0.1681530781664488,0.0069080779944289,0.0057938718662952,0.9872980501392756,59.0,50.0,106.0,215.0,,,,ctx1024_h1_normTrue,timesfm,timesfm-results/ctx1024_h1_normTrue/metrics_sweep.csv,step1,0.058982677035374964,-0.14854052295806341,20752.319999343832,0.19169075407861572,15.482127375699926,,,,,,,,True,,,,,,,,
128,20,,100000.0,0.03,0.001,752.1958102090284,,136097.9881955253,12679.530706291667,0.0,97669.53269731608,111840.40692560095,76468.2617877226,33104.26986262315,0.1046908134020132,0.2673389245798853,0.2056418494993435,0.3916033311143581,0.1993624904906866,0.01278928136419,0.0089321965083231,0.9782785221274868,111.0,79.0,183.0,373.0,,,,ctx128_h20_normTrue,timesfm,timesfm-results/ctx128_h20_normTrue/metrics_sweep.csv,step1,0.11840406925600955,-0.23531738212277398,35372.14513787835,0.3310426986262315,12.536596836817141,,,,,,,,True,,,,,,,,
128,5,,100000.0,0.03,0.001,765.3715352499858,,136097.9881955253,12679.530706291667,0.0,97669.53269731608,111840.40692560095,76468.2617877226,33104.26986262315,0.1045236185748059,0.2671356463773188,0.2056418494993435,0.3912754437390597,0.198877443179191,0.0127698388567953,0.0089186176142697,0.9783115435289348,111.0,79.0,183.0,373.0,,,,ctx128_h5_normTrue,timesfm,timesfm-results/ctx128_h5_normTrue/metrics_sweep.csv,step1,0.11840406925600955,-0.23531738212277398,35372.14513787835,0.3310426986262315,12.756192254166429,,,,,,,,True,,,,,,,,
128,1,,100000.0,0.03,0.001,742.7208780410001,,136097.9881955253,12679.530706291667,0.0,97669.53269731608,111840.40692560095,76468.2617877226,33104.26986262315,0.1044791233705855,0.2670815171247681,0.2056418494993435,0.3911881454596415,0.1987484289316261,0.0127646641677641,0.00891500354574,0.9783203322864958,111.0,79.0,183.0,373.0,,,,ctx128_h1_normTrue,timesfm,timesfm-results/ctx128_h1_normTrue/metrics_sweep.csv,step1,0.11840406925600955,-0.23531738212277398,35372.14513787835,0.3310426986262315,12.378681300683334,,,,,,,,True,,,,,,,,
128,3,,100000.0,0.03,0.001,725.7143085839925,,136097.9881955253,12679.530706291667,0.0,97669.53269731608,111840.40692560095,76468.2617877226,33104.26986262315,0.1045013662400498,0.2671085776375814,0.2056418494993435,0.3912317873289694,0.1988129186347569,0.012767250987942,0.0089168102138007,0.9783159387982572,111.0,79.0,183.0,373.0,,,,ctx128_h3_normTrue,timesfm,timesfm-results/ctx128_h3_normTrue/metrics_sweep.csv,step1,0.11840406925600955,-0.23531738212277398,35372.14513787835,0.3310426986262315,12.095238476399876,,,,,,,,True,,,,,,,,
256,3,,100000.0,0.03,0.001,757.5878254160052,,198043.90090151568,19907.997295982557,0.0,99891.60082007616,109125.60786122797,74314.00602418577,31141.143371687216,0.0817572219583711,0.2851612084150063,0.2044073381896013,0.2867052724765656,0.1146740953926002,0.0155014885535365,0.0078020737090647,0.9766964377373988,119.0,73.0,184.0,376.0,,,,ctx256_h3_normTrue,timesfm,timesfm-results/ctx256_h3_normTrue/metrics_sweep.csv,mean_horizon,0.09125607861227958,-0.25685993975814225,34811.601837042195,0.3114114337168722,12.62646375693342,,,,,,,,True,,,,,,,,
256,5,,100000.0,0.03,0.001,759.2947427500039,,198043.90090151568,19907.997295982557,0.0,99891.60082007616,102707.6292535737,69664.03974033693,30300.732628648944,0.0243380187671196,0.2971857598757951,0.2944498850480114,0.0818949695883523,0.0067691020033817,0.0181743505493377,0.0078036759420885,0.9740219735085738,121.0,73.0,186.0,380.0,,,,ctx256_h5_normTrue,timesfm,timesfm-results/ctx256_h5_normTrue/metrics_sweep.csv,mean_horizon,0.027076292535737068,-0.30335960259663075,33043.58951323677,0.30300732628648946,12.654912379166733,,,,,,,,True,,,,,,,,
256,20,,100000.0,0.03,0.001,762.5067723750253,,198043.90090151568,19907.997295982557,0.0,99891.60082007616,107106.08373827852,64687.28151983035,36541.455990080365,0.0638400229223736,0.3846353338146266,0.3315606773252783,0.1659754507970947,0.0319575791342793,0.0405183052241875,0.010386672151378,0.9490950226244343,171.0,81.0,249.0,501.0,,,,ctx256_h20_normTrue,timesfm,timesfm-results/ctx256_h20_normTrue/metrics_sweep.csv,mean_horizon,0.07106083738278524,-0.35312718480169647,42418.802218448174,0.3654145599008036,12.708446206250422,,,,,,,,True,,,,,,,,
256,1,,100000.0,0.03,0.001,742.9327469999553,,198043.90090151568,19907.997295982557,0.0,99891.60082007616,93564.82430088302,64616.01993455875,26924.002503847336,-0.0580889653149965,0.2509694574159566,0.2701394030553595,-0.2314583053774544,-0.0497712415177859,0.0125218105306373,0.008416298881248,0.9790618905881144,109.0,76.0,178.0,363.0,,,,ctx256_h1_normTrue,timesfm,timesfm-results/ctx256_h1_normTrue/metrics_sweep.csv,step1,-0.0643517569911698,-0.35383980065441245,28948.804366324264,0.2692400250384734,12.382212449999255,,,,,,,,True,,,,,,,,
