context_length,horizon,num_samples,starting_capital,threshold,fee_rate,runtime_seconds,model_path,equity_no_tc,equity_tc,fee,cum_fee,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total,data_rows,n_windows,device,run_name,model_family,source_path,variant,roi_no_tc,roi_tc,fee_impact,fee_ratio_vs_start,runtime_minutes,feature_cols,use_future_covariates,cross_learning,n_windows_total,n_windows_kept,prediction_length,scale_inputs,normalize_inputs,freq,rope_scale,model_id,patch_size,batch_size,repo_id,mu,sigma
512,3,10.0,100000.0,0.005,0.001,389.761469916004,amazon/chronos-t5-mini,714904.9129577997,4512.124736933358,0.0,227192.48013953964,714904.9129577997,4512.124736933358,227192.48013953964,5.158525133980637,0.627167410285786,0.2597417813092786,8.225116690342716,163.35250710602892,0.1777543489720611,0.16615709014233,0.6560885608856089,1277.0,1254.0,1684.0,4215.0,10000.0,9486.0,cpu,ctx512_h3_samp10,chronos,chronos-results/ctx512_h3_samp10/metrics_sweep.csv,step1,6.149049129577997,-0.9548787526306665,710392.7882208664,2.2719248013953965,6.496024498600066,,,,,,,,,,,,,,,,
512,5,10.0,100000.0,0.005,0.001,468.8424177079869,amazon/chronos-t5-mini,654016.1028949962,3950.047369292467,0.0,204634.54295144536,700861.3213297192,3915.1262291205394,192088.6798948105,5.0489313829576945,0.6565275423854745,0.2397789818592658,7.690357307193151,161.93281852049483,0.2038384477486027,0.1668248444585047,0.6293367077928925,1360.0,1232.0,1725.0,4317.0,10000.0,9484.0,cpu,ctx512_h5_samp10,chronos,chronos-results/ctx512_h5_samp10/metrics_sweep.csv,mean_horizon,6.008613213297192,-0.9608487377087946,696946.1951005986,1.920886798948105,7.814040295133115,,,,,,,,,,,,,,,,
512,1,,100000.0,0.005,0.001,69.24222358316183,Datadog/Toto-Open-Base-1.0,631315.1924648604,8381.073202038408,8.375989571268175,195224.3007385343,631316.2600809862,8381.087375258034,195224.42395217525,4.487999130062257,0.6037628657254757,0.2987171012837192,7.433380528743716,111.6809355843926,0.1497839148308211,0.1416675450616633,0.7085485401075156,1083.0,1077.0,1492.0,3652.0,,,,ctx512_h1,toto,toto-results/ctx512_h1/metrics_sweep.csv,step1,5.313162600809862,-0.9161891262474197,622935.1727057282,1.9522442395217525,1.1540370597193639,,,,,,,,,,,,,8.0,,,
512,20,10.0,100000.0,0.005,0.001,1108.9940301250026,amazon/chronos-t5-mini,505619.8617540888,3153.1398621790636,3.1562961583374007,213477.0177704627,505619.8617540888,3153.1398621790636,213477.0177704627,3.483591801513387,0.6362450893267767,0.2761067094388277,5.47523565989239,69.08012519840868,0.1777566539923954,0.1660329531051964,0.6562103929024081,1274.0,1263.0,1691.0,4228.0,10000.0,9469.0,cpu,ctx512_h20_samp10,chronos,chronos-results/ctx512_h20_samp10/metrics_sweep.csv,step1,4.056198617540888,-0.9684686013782093,502466.7218919097,2.134770177704627,18.48323383541671,,,,,,,,,,,,,,,,
256,5,,100000.0,0.01,0.001,759.2947427500039,,198043.90090151568,19907.997295982557,0.0,99891.60082007616,214073.21026906552,20551.704357705978,122696.8287826496,0.9839491102540608,0.5391684862922441,0.3020779638073382,1.82493809499232,5.944313819533278,0.0963137899168292,0.0630454872163466,0.8406407228668241,666.0,505.0,969.0,2140.0,,,,ctx256_h5_normTrue,timesfm,timesfm-results/ctx256_h5_normTrue/metrics_sweep.csv,mean_horizon,1.140732102690655,-0.7944829564229402,193521.50591135953,1.226968287826496,12.654912379166733,,,,,,,,True,,,,,,,,
256,3,,100000.0,0.01,0.001,757.5878254160052,,198043.90090151568,19907.997295982557,0.0,99891.60082007616,204781.5070110229,19659.297217577103,116703.92971924672,0.9060186593447356,0.5441417610965547,0.2970193850324665,1.66504158313254,5.078990863637008,0.0905451185709886,0.062929883995483,0.8465249974335284,656.0,515.0,950.0,2121.0,,,,ctx256_h3_normTrue,timesfm,timesfm-results/ctx256_h3_normTrue/metrics_sweep.csv,mean_horizon,1.0478150701102291,-0.8034070278242289,185122.2097934458,1.1670392971924672,12.62646375693342,,,,,,,,True,,,,,,,,
256,1,,100000.0,0.01,0.001,742.9327469999553,,198043.90090151568,19907.997295982557,0.0,99891.60082007616,198043.90090151568,19907.997295982557,99891.60082007616,0.8492584129647285,0.5281678358434745,0.3181296939940723,1.6079328488613438,4.292433322503003,0.082520784152725,0.0619932259057785,0.8554859899414965,625.0,523.0,930.0,2078.0,,,,ctx256_h1_normTrue,timesfm,timesfm-results/ctx256_h1_normTrue/summary_row.csv,summary,0.9804390090151567,-0.8009200270401744,178135.90360553312,0.9989160082007615,12.382212449999255,,,,,,,,True,,,,,,,,
256,20,,100000.0,0.01,0.001,762.5067723750253,,198043.90090151568,19907.997295982557,0.0,99891.60082007616,198043.90090151568,19907.997295982557,99891.60082007616,0.8514811607108179,0.5286834646052296,0.3181296939940723,1.6105689277545738,4.310723349310469,0.0826820238584944,0.0621143562320032,0.8552036199095022,625.0,523.0,930.0,2078.0,,,,ctx256_h20_normTrue,timesfm,timesfm-results/ctx256_h20_normTrue/summary_row.csv,summary,0.9804390090151567,-0.8009200270401744,178135.90360553312,0.9989160082007615,12.708446206250422,,,,,,,,True,,,,,,,,
1024,3,,100000.0,0.01,0.001,972.0330122499728,,182427.35902246373,31480.309428571203,0.0,109526.86269926451,182427.35902246373,31480.309428571203,109526.86269926451,0.7991260617226377,0.3895954059444471,0.221347745452008,2.0511691091054245,7.4052829801329185,0.0600690961774211,0.0530480329878524,0.8868828708347264,447.0,431.0,767.0,1645.0,,,,ctx1024_h3_normTrue,timesfm,timesfm-results/ctx1024_h3_normTrue/metrics_sweep.csv,step1,0.8242735902246372,-0.6851969057142879,150947.04959389253,1.095268626992645,16.200550204166213,,,,,,,,True,,,,,,,,
1024,1,,100000.0,0.01,0.001,928.9276425419956,,182427.35902246373,31480.309428571203,0.0,109526.86269926451,182427.35902246373,31480.309428571203,109526.86269926451,0.798890616721764,0.3895520089422607,0.221347745452008,2.0507932147262404,7.40174449365096,0.0600557103064066,0.0530362116991643,0.886908077994429,447.0,431.0,767.0,1645.0,,,,ctx1024_h1_normTrue,timesfm,timesfm-results/ctx1024_h1_normTrue/summary_row.csv,summary,0.8242735902246372,-0.6851969057142879,150947.04959389253,1.095268626992645,15.482127375699926,,,,,,,,True,,,,,,,,
