timestamp,y_true,eq_step1_thr0.005_no_tc,eq_step1_thr0.005_tc,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc,eq_step1_thr0.040_no_tc,eq_step1_thr0.040_tc
2018-01-22 08:00:00+00:00,11541.580078125,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 09:00:00+00:00,11634.08984375,100801.5346685532,100700.73313388464,100801.5346685532,100700.73313388464,100801.5346685532,100700.73313388464,100801.5346685532,100700.73313388464,100801.5346685532,100700.73313388464,100801.5346685532,100700.73313388464,100801.5346685532,100700.73313388464
2018-01-22 10:00:00+00:00,11473.26953125,99408.13522574375,99308.727090518,99408.13522574375,99308.727090518,99408.13522574375,99308.727090518,99408.13522574375,99308.727090518,99408.13522574375,99308.727090518,99408.13522574375,99308.727090518,99408.13522574375,99308.727090518
2018-01-22 11:00:00+00:00,11634.0302734375,100801.01853200953,100700.21751347752,100801.01853200953,100700.21751347752,100801.01853200953,100700.21751347752,100801.01853200953,100700.21751347752,100801.01853200953,100700.21751347752,100801.01853200953,100700.21751347752,100801.01853200953,100700.21751347752
2018-01-22 12:00:00+00:00,11756.5,101862.13603700885,101760.27390097184,101862.13603700885,101760.27390097184,101862.13603700885,101760.27390097184,101862.13603700885,101760.27390097184,101862.13603700885,101760.27390097184,101862.13603700885,101760.27390097184,101862.13603700885,101760.27390097184
2018-01-22 13:00:00+00:00,11753.490234375,101836.05844967136,101734.22239122167,101836.05844967136,101734.22239122167,101836.05844967136,101734.22239122167,101836.05844967136,101734.22239122167,101836.05844967136,101734.22239122167,101836.05844967136,101734.22239122167,101836.05844967136,101734.22239122167
2018-01-22 14:00:00+00:00,11744.1103515625,101754.78809718056,101653.03330908336,101754.78809718056,101653.03330908336,101754.78809718056,101653.03330908336,101754.78809718056,101653.03330908336,101754.78809718056,101653.03330908336,101754.78809718056,101653.03330908336,101754.78809718056,101653.03330908336
2018-01-22 15:00:00+00:00,11717.9501953125,101528.12800321663,101426.59987521339,101528.12800321663,101426.59987521339,101528.12800321663,101426.59987521339,101528.12800321663,101426.59987521339,101528.12800321663,101426.59987521339,101528.12800321663,101426.59987521339,101528.12800321663,101426.59987521339
2018-01-22 16:00:00+00:00,11303.9296875,97940.91979593484,97842.97887613888,97940.91979593484,97842.97887613888,97940.91979593484,97842.97887613888,97940.91979593484,97842.97887613888,97940.91979593484,97842.97887613888,97940.91979593484,97842.97887613888,97940.91979593484,97842.97887613888
2018-01-22 17:00:00+00:00,11343.240234375,98281.51914722736,98183.23762808011,98281.51914722736,98183.23762808011,98281.51914722736,98183.23762808011,98281.51914722736,98183.23762808011,98281.51914722736,98183.23762808011,98281.51914722736,98183.23762808011,98281.51914722736,98183.23762808011
2018-01-22 18:00:00+00:00,10686.6904296875,92592.95830682846,92500.3653485216,92592.95830682846,92500.3653485216,92592.95830682846,92500.3653485216,92592.95830682846,92500.3653485216,92592.95830682846,92500.3653485216,92592.95830682846,92500.3653485216,92592.95830682846,92500.3653485216
2018-01-22 19:00:00+00:00,10739.8603515625,93053.6397864447,92960.58614665824,93053.6397864447,92960.58614665824,93053.6397864447,92960.58614665824,93053.6397864447,92960.58614665824,93053.6397864447,92960.58614665824,93053.6397864447,92960.58614665824,93053.6397864447,92960.58614665824
2018-01-22 20:00:00+00:00,10481.080078125,90811.48341196378,90720.6719285518,90811.48341196378,90720.6719285518,90811.48341196378,90720.6719285518,90811.48341196378,90720.6719285518,90811.48341196378,90720.6719285518,90811.48341196378,90720.6719285518,90811.48341196378,90720.6719285518
2018-01-22 21:00:00+00:00,10588.91015625,91745.75824604281,91654.01248779675,91745.75824604281,91654.01248779675,91745.75824604281,91654.01248779675,91745.75824604281,91654.01248779675,91745.75824604281,91654.01248779675,91745.75824604281,91654.01248779675,91745.75824604281,91654.01248779675
2018-01-22 22:00:00+00:00,10630.0,92101.77400360687,92009.67222960324,92101.77400360687,92009.67222960324,92101.77400360687,92009.67222960324,92101.77400360687,92009.67222960324,92101.77400360687,92009.67222960324,92101.77400360687,92009.67222960324,92101.77400360687,92009.67222960324
2018-01-22 23:00:00+00:00,10488.7802734375,90878.20040617409,90787.3222057679,90878.20040617409,90787.3222057679,90878.20040617409,90787.3222057679,90878.20040617409,90787.3222057679,90878.20040617409,90787.3222057679,90878.20040617409,90787.3222057679,90878.20040617409,90787.3222057679
2018-01-23 00:00:00+00:00,10619.5,92010.79859184414,91918.78779325228,92010.79859184414,91918.78779325228,92010.79859184414,91918.78779325228,92010.79859184414,91918.78779325228,92010.79859184414,91918.78779325228,92010.79859184414,91918.78779325228,92010.79859184414,91918.78779325228
2018-01-23 01:00:00+00:00,10399.8701171875,90107.8539228662,90017.74606894332,90107.8539228662,90017.74606894332,90107.8539228662,90017.74606894332,90107.8539228662,90017.74606894332,90107.8539228662,90017.74606894332,90107.8539228662,90017.74606894332,90107.8539228662,90017.74606894332
2018-01-23 02:00:00+00:00,10350.0,89675.76302326728,89586.087260244,89675.76302326728,89586.087260244,89675.76302326728,89586.087260244,89675.76302326728,89586.087260244,89675.76302326728,89586.087260244,89675.76302326728,89586.087260244,89675.76302326728,89586.087260244
