timestamp,y_true,eq_step1_thr0.005_no_tc,eq_step1_thr0.005_tc,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc,eq_step1_thr0.040_no_tc,eq_step1_thr0.040_tc
2018-01-22 08:00:00+00:00,11541.58,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 09:00:00+00:00,11634.09,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 10:00:00+00:00,11473.27,101382.31696677608,101280.93464980931,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 11:00:00+00:00,11634.03,102802.85542491217,102494.65246434828,101401.1698495721,101299.76867972253,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 12:00:00+00:00,11756.5,101720.66243556206,101212.8724818011,100333.732231526,100032.93170229587,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 13:00:00+00:00,11753.49,101746.70583231545,101238.78586981373,100359.42053450878,100058.54299174632,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 14:00:00+00:00,11744.11,101746.70583231545,101137.54708394391,100359.42053450878,99958.48444875458,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 15:00:00+00:00,11717.95,101746.70583231545,101137.54708394391,100359.42053450878,99958.48444875458,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 16:00:00+00:00,11303.93,98151.77914729842,97466.5791248467,100359.42053450878,99958.48444875458,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 17:00:00+00:00,11343.24,98493.10702514977,97805.52418425503,100708.42559922623,100205.78914230292,100347.75516125807,100247.40740609681,100347.75516125807,100247.40740609681,100347.75516125807,100247.40740609681,100347.75516125807,100247.40740609681,100000.0,100000.0
2018-01-22 18:00:00+00:00,10686.69,98493.10702514977,97707.71866007078,100708.42559922623,100105.58335316062,100347.75516125807,100147.15999869071,100347.75516125807,100147.15999869071,100347.75516125807,100147.15999869071,100347.75516125807,100147.15999869071,100000.0,100000.0
2018-01-22 19:00:00+00:00,10739.86,98983.1444923662,98095.65469843509,101209.48504692341,100503.03980754044,100847.02014807102,100544.78152784023,100847.02014807102,100544.78152784023,100847.02014807102,100544.78152784023,100847.02014807102,100544.78152784023,100497.5347839228,100397.03724913888
2018-01-22 20:00:00+00:00,10481.08,98983.1444923662,97997.55904373665,101209.48504692341,100402.53676773289,100847.02014807102,100444.23674631238,100847.02014807102,100444.23674631238,100847.02014807102,100444.23674631238,100847.02014807102,100444.23674631238,100497.5347839228,100296.64021188974
2018-01-22 21:00:00+00:00,10588.91,100001.48921167107,98906.75823492232,102250.73449570252,101334.048798369,101884.5405355279,101376.13565991953,101884.5405355279,101376.13565991953,101884.5405355279,101376.13565991953,100847.02014807102,100444.23674631238,100497.5347839228,100296.64021188974
2018-01-22 22:00:00+00:00,10630.0,99613.43593784896,98325.90713115773,102250.73449570252,101232.71474957063,101884.5405355279,101274.75952425961,101884.5405355279,101274.75952425961,101884.5405355279,101274.75952425961,100847.02014807102,100444.23674631238,100497.5347839228,100296.64021188974
2018-01-22 23:00:00+00:00,10488.78,99613.43593784896,98227.58122402657,102250.73449570252,101232.71474957063,101884.5405355279,101274.75952425961,101884.5405355279,101274.75952425961,101884.5405355279,101274.75952425961,100847.02014807102,100444.23674631238,100497.5347839228,100296.64021188974
2018-01-23 00:00:00+00:00,10619.5,100854.90237587088,99352.3241987859,103525.06916696821,102391.86764035304,101884.5405355279,101274.75952425961,101884.5405355279,101274.75952425961,101884.5405355279,101274.75952425961,100847.02014807102,100444.23674631238,100497.5347839228,100296.64021188974
2018-01-23 01:00:00+00:00,10399.87,102940.75973345009,101204.29137691986,105666.15028577241,104300.49312754712,101884.5405355279,101274.75952425961,101884.5405355279,101274.75952425961,101884.5405355279,101274.75952425961,100847.02014807102,100444.23674631238,100497.5347839228,100296.64021188974
2018-01-23 02:00:00+00:00,10350.0,102447.13282389186,100517.55328861017,105159.45444104055,103592.74526146695,101395.97846345327,100688.33238444431,101395.97846345327,100688.33238444431,101884.5405355279,101274.75952425961,100847.02014807102,100444.23674631238,100497.5347839228,100296.64021188974
2018-01-23 03:00:00+00:00,10699.97,102447.13282389186,100417.03573532157,105159.45444104055,103489.15251620547,101395.97846345327,100587.64405205987,101395.97846345327,100587.64405205987,101884.5405355279,101274.75952425961,100847.02014807102,100444.23674631238,100497.5347839228,100296.64021188974
2018-01-23 04:00:00+00:00,10808.99,101403.31808231214,99294.51136931998,104088.00436004384,102332.28610936897,100362.87373773106,99463.21251969773,100362.87373773106,99463.21251969773,100846.45794191472,100142.64698583957,99819.50865630583,99321.40831041477,100497.5347839228,100296.64021188974
