context_length,horizon,num_samples,starting_capital,threshold,fee_rate,runtime_seconds,model_path,equity_no_tc,equity_tc,fee,cum_fee,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total,data_rows,n_windows,device,run_name
512,1,20,100000.0,0.005,0.001,482.7513499170309,amazon/chronos-t5-mini,520002.889909637,3351.6725251969065,0.0,200384.61094116006,520002.889909637,3351.6725251969065,200384.61094116006,3.5875059477846563,0.6310112041063805,0.2936528292762468,5.685328444944456,69.45667665323374,0.17466006113629176,0.16201117318435754,0.6633287656793507,1263,1258,1669,4190,10000,9488,cpu,ctx512_h1_samp20
512,3,20,100000.0,0.005,0.001,657.3142010829179,amazon/chronos-t5-mini,549221.4781019951,3350.4120696116397,0.0,205659.97694580868,549221.4781019951,3350.4120696116397,205659.97694580868,3.826782472871554,0.6308644670470603,0.22794706598485392,6.065934400749962,101.83509643384033,0.17627833421191355,0.16267791249341065,0.6610437532946758,1281,1267,1681,4229,10000,9486,cpu,ctx512_h3_samp20
512,5,20,100000.0,0.005,0.001,819.5366212090012,amazon/chronos-t5-mini,608866.4271320024,3952.0583559848988,0.0,223629.99866572715,608866.4271320024,3952.0583559848988,223629.99866572715,4.311170245586357,0.6292593757338254,0.24629257925292125,6.851181582409934,119.92488882445544,0.1743119266055046,0.1612358958135611,0.6644521775809343,1259,1258,1675,4192,10000,9484,cpu,ctx512_h5_samp20
512,20,20,100000.0,0.005,0.001,2285.3878167920047,amazon/chronos-t5-mini,440579.0207860539,2900.0658817745943,2.9029688506252196,193986.52266977725,440579.0207860539,2900.0658817745943,193986.52266977725,2.946942090611103,0.626901012014445,0.2855156256967202,4.700809273128434,48.5192804180605,0.17395437262357413,0.16170257710181665,0.6643430502746092,1256,1254,1667,4177,10000,9469,cpu,ctx512_h20_samp20
