variant,threshold,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total
step1,0.005,608866.4271320024,3952.0583559848988,223629.99866572715,4.311170245586357,0.6292593757338254,0.24629257925292125,6.851181582409934,119.92488882445544,0.1743119266055046,0.1612358958135611,0.6644521775809343,1259.0,1258.0,1675.0,4192.0
step1,0.01,198955.16668048184,20160.60261402134,107193.22959284051,0.8886912666712818,0.4806091578460657,0.21569565261928858,1.8490934934617302,7.618481035399325,0.07708531055573131,0.06464199093113994,0.8582726985131287,598.0,546.0,940.0,2084.0
step1,0.015,108100.90850404701,28341.28371881439,68530.11674167754,0.07465954257115248,0.38912547310812723,0.23816876416575616,0.19186495804248377,0.060144536808008436,0.044606137298323315,0.03385004745333755,0.9215438152483392,373.0,296.0,593.0,1262.0
step1,0.02,106330.64621002445,47092.52141399493,51633.035549166474,0.05838171609506437,0.33975932536098824,0.3113340344480018,0.1718325642218498,0.03222224000685813,0.026362965306337655,0.02024675735526732,0.953390277338395,231.0,176.0,375.0,782.0
step1,0.025,140126.2460740031,85994.52049908607,45404.7719103141,0.36596168235505044,0.2562117519228765,0.11842051541208098,1.4283563482490464,4.414131203438506,0.014341453126647686,0.012654223347042075,0.9730043235263103,129.0,115.0,228.0,472.0
step1,0.03,123023.25989514886,90036.06607553262,29789.267000975797,0.21110467244315734,0.21070552422230998,0.17127858691594466,1.0018943415096522,1.2348570863142645,0.009490667510281556,0.007592534008225245,0.9829167984814932,86.0,70.0,149.0,305.0
step1,0.04,115066.75977800808,100428.33960081656,13962.437651380671,0.13851922376813608,0.1232195183268862,0.057812963952739826,1.124166249381544,2.693489930354776,0.0031635558367605187,0.004007170726563324,0.9928292734366762,30.0,38.0,68.0,136.0
mean_horizon,0.005,446916.4808858226,3123.925800103928,202611.05507275925,2.990718301073623,0.6371382319293392,0.25402154916063335,4.69398656554847,55.26456937597132,0.18802066856480018,0.15775598439312455,0.6542233470420753,1288.0,1192.0,1682.0,4162.0
mean_horizon,0.01,304826.4183814518,28228.334654626273,138175.4668167128,1.8018487637875462,0.4852070606993136,0.21562452423085077,3.7135666599546155,31.032117145998118,0.0849942001476326,0.06590741326584414,0.8490983865865233,647.0,542.0,963.0,2152.0
mean_horizon,0.015,157519.46929865566,39916.32760201665,88619.99779258735,0.5219845813642232,0.40278720761062353,0.23161864757360928,1.2959313789052318,2.920560176743229,0.04892966360856269,0.03363914373088685,0.9174311926605505,402.0,284.0,609.0,1295.0
mean_horizon,0.02,95357.88689883606,40820.26677970964,52672.95148290065,-0.04298700360101593,0.32771639869967645,0.3133224509241517,-0.13117135355930043,-0.017996359441120213,0.028050195085943266,0.02172308341242223,0.9502267215016345,239.0,185.0,390.0,814.0
mean_horizon,0.025,101404.57151143148,60029.79181427317,38545.73912514726,0.012976604891817178,0.2716883980407105,0.20468559564337463,0.04776282309218346,0.0030280552074846913,0.016028682906253297,0.01339238637561953,0.9705789307181272,144.0,118.0,247.0,509.0
mean_horizon,0.03,101776.48163481591,72864.6728949656,26025.769867225838,0.016410337899068983,0.23336332210492705,0.24984267205127797,0.07032098168233314,0.004618870993200397,0.010017926816408309,0.008647052620478752,0.981335020563113,91.0,76.0,159.0,326.0
mean_horizon,0.04,103033.00776881177,89566.23003098537,13001.374006390197,0.028004465044455973,0.1396170365291097,0.13053291970039593,0.20058057197494758,0.043032452115237305,0.0035853632816619215,0.0039017188653379734,0.9925129178530001,34.0,36.0,69.0,139.0
