variant,threshold,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total
step1,0.005,179464.03505023872,1614.2715219814463,149294.2874236688,0.7169973777606455,0.662064826369569,0.47977822189905595,1.0829715598883256,1.6184306272923248,0.23273225772434883,0.15195613202573025,0.6153116102499209,1286.0,1068.0,1620.0,3974.0
step1,0.01,201496.29285999932,17678.385753136663,139933.71332265565,0.910979206669073,0.5554612403606652,0.400533080744654,1.6400409974196708,3.7301369563694102,0.12327322577243488,0.06886006538015396,0.8078667088474112,687.0,529.0,1005.0,2221.0
step1,0.015,111982.03777830012,26777.363155043753,84852.01530301174,0.11027708187334118,0.482623972592624,0.4009289481192456,0.22849482855345954,0.06284840003254272,0.07771802172308341,0.03522092164926711,0.8870610566276494,423.0,292.0,649.0,1364.0
step1,0.02,120011.5563151113,51067.062188663964,62625.086694791826,0.183672582885686,0.4104517432961387,0.25939921682901756,0.44748886047041886,0.31685305692094856,0.05240957502899926,0.017821364547084256,0.9297690604239165,270.0,157.0,406.0,833.0
step1,0.025,91092.75221164562,50783.62822709789,43185.045839829276,-0.08262272073729127,0.3770738267436247,0.24913163784050818,-0.21911550173294597,-0.07266808449468236,0.03891173679215438,0.012443319624591375,0.9486449435832542,181.0,111.0,280.0,572.0
step1,0.03,103620.19005547164,69583.54053169125,33345.734715892904,0.03341879796550984,0.3343703411271538,0.22830477324171272,0.09994546122977276,0.014629817541621255,0.028788358114520723,0.007803437730675947,0.9634082041548033,129.0,70.0,194.0,393.0
step1,0.04,102684.14293023065,86970.90572642675,15748.058538611409,0.02478652246516888,0.29278893889867513,0.18599394106695577,0.08465662179180444,0.011281782867929475,0.017610460824633554,0.0030581039755351682,0.9793314351998312,55.0,28.0,82.0,165.0
mean_horizon,0.005,206428.0348123711,2052.2790849612434,165152.9534944426,0.9541745962991757,0.6575623885798725,0.449712951798523,1.451078426732849,3.078813199595303,0.241801117789729,0.14446904987873035,0.6137298323315407,1260.0,1044.0,1610.0,3914.0
mean_horizon,0.01,154927.60545939763,14784.372906901805,123809.63844153984,0.49882094521399,0.562451968629089,0.39278345872987375,0.8868685203997203,1.1262913032459498,0.13339660445006854,0.06316566487398502,0.8034377306759465,681.0,493.0,962.0,2136.0
mean_horizon,0.015,149073.47534024116,37701.19263879753,92386.0634632913,0.44639349029754083,0.4812216469807518,0.3367577652051533,0.927625540326942,1.2296256995987132,0.08488874828640726,0.031002847200253085,0.8841084045133396,428.0,259.0,627.0,1314.0
mean_horizon,0.02,124032.29508993369,51732.159788823206,64121.44805473499,0.22028405011332963,0.4289902500157027,0.2711023203492505,0.5134943046031148,0.4172395314889994,0.059474849731097755,0.017821364547084256,0.922703785721818,282.0,155.0,412.0,849.0
mean_horizon,0.025,89271.48773278753,49967.90678653286,41161.93781634837,-0.099590092108097,0.39436273701678515,0.2520305376622346,-0.2525342350077517,-0.09978912856415485,0.04365707054729516,0.010966993567436465,0.9453759358852684,195.0,95.0,279.0,569.0
mean_horizon,0.03,114580.99027225946,78185.30905142434,34849.84278419758,0.13407560328937373,0.35359820567733424,0.23416797046228877,0.37917501032717493,0.21710107561468422,0.03184646209005589,0.006959822840873141,0.9611937150690709,129.0,62.0,182.0,373.0
mean_horizon,0.04,111726.46776198894,92754.62485875332,18060.373778877827,0.10793459472649114,0.3056805898140469,0.23897642766475402,0.35309600387826534,0.15947712688888369,0.020563112938943372,0.002847200253084467,0.9765896868079722,66.0,27.0,90.0,183.0
