timestamp,y_true,eq_step1_thr0.005_no_tc,eq_step1_thr0.005_tc,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc,eq_step1_thr0.040_no_tc,eq_step1_thr0.040_tc
2018-01-22 08:00:00+00:00,11541.580078125,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 09:00:00+00:00,11634.08984375,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 10:00:00+00:00,11473.26953125,101382.31967141284,101280.93735174144,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 11:00:00+00:00,11634.0302734375,102802.86478374327,102494.6617951216,101401.17637565851,101299.77519928286,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 12:00:00+00:00,11756.5,101720.67413751018,101212.88412533303,100333.74109725836,100032.94054144878,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 13:00:00+00:00,11753.490234375,101746.7155093786,101238.7954985689,100359.4274022796,100058.54983892757,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 14:00:00+00:00,11744.1103515625,101746.7155093786,101137.55670307032,100359.4274022796,99958.49128908865,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 15:00:00+00:00,11717.9501953125,101746.7155093786,101137.55670307032,100359.4274022796,99958.49128908865,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 16:00:00+00:00,11303.9296875,98151.7841330447,97466.58407578731,100359.4274022796,99958.49128908865,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22 17:00:00+00:00,11343.240234375,98493.11678617449,97805.53387713774,100708.43735583656,100205.80084023596,100347.7600087912,100247.4122487824,100347.7600087912,100247.4122487824,100347.7600087912,100247.4122487824,100347.7600087912,100247.4122487824,100347.7600087912,100247.4122487824
2018-01-22 18:00:00+00:00,10686.6904296875,98493.11678617449,97707.7283432606,100708.43735583656,100105.59503939572,100347.7600087912,100147.16483653363,100347.7600087912,100147.16483653363,100347.7600087912,100147.16483653363,100347.7600087912,100147.16483653363,100347.7600087912,100147.16483653363
2018-01-22 19:00:00+00:00,10739.8603515625,98983.15356221866,98095.66368696655,101209.49610565194,100503.05078907876,100847.02426605618,100544.78563348379,100847.02426605618,100544.78563348379,100847.02426605618,100544.78563348379,100847.02426605618,100544.78563348379,100847.02426605618,100544.78563348379
2018-01-22 20:00:00+00:00,10481.080078125,96598.12371024201,95732.01817939224,98770.82183807809,98081.39854099185,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503
2018-01-22 21:00:00+00:00,10588.91015625,97591.9319006921,96716.91581612459,99786.98289742338,99090.46676568348,101884.54543984993,101376.14053976895,101884.54543984993,101376.14053976895,101884.54543984993,101376.14053976895,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503
2018-01-22 22:00:00+00:00,10630.0,97213.2302993103,96148.92646041815,99786.98289742338,98991.37629891779,101884.54543984993,101274.76439922919,101884.54543984993,101274.76439922919,101884.54543984993,101274.76439922919,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503
2018-01-22 23:00:00+00:00,10488.7802734375,97213.2302993103,96052.77753395773,99786.98289742338,98991.37629891779,101884.54543984993,101274.76439922919,101884.54543984993,101274.76439922919,101884.54543984993,101274.76439922919,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503
2018-01-23 00:00:00+00:00,10619.5,98424.78078961516,97152.61565078818,101030.60958983126,100124.86240610054,103154.31366586284,102434.39610399604,101884.54543984993,101274.76439922919,101884.54543984993,101274.76439922919,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503
2018-01-23 01:00:00+00:00,10399.8701171875,100460.3778582784,98963.57830923,103120.09976777657,101991.22890364117,103154.31366586284,102331.96170789204,101884.54543984993,101274.76439922919,101884.54543984993,101274.76439922919,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503
2018-01-23 02:00:00+00:00,10350.0,99978.64387890753,98292.04383429125,102625.61172111273,101299.1497820056,102659.66155454359,101739.41173787929,101395.9822017107,100688.33609661233,101884.54543984993,101274.76439922919,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503
2018-01-23 03:00:00+00:00,10699.9697265625,103359.27176880038,101615.64187332084,102625.61172111273,101197.85063222359,102659.66155454359,101637.6723261414,101395.9822017107,100587.64776051571,101884.54543984993,101274.76439922919,100847.02426605618,100444.2408478503,100847.02426605618,100444.2408478503
2018-01-23 04:00:00+00:00,10808.990234375,102306.15848125608,100379.13360061987,101579.97359405996,100066.59300515743,101613.6764984596,100501.49807641294,100362.87259932225,99463.2113914937,100846.4579343756,100142.64697835308,99819.50791995181,99321.40757773518,100847.02426605618,100444.2408478503
2018-01-23 05:00:00+00:00,10808.25,102313.16473564618,100386.0078861556,101586.93011697613,100073.44588690915,101613.6764984596,100400.99657833653,100362.87259932225,99363.74818010221,100846.4579343756,100042.50433137473,99819.50791995181,99222.08617015745,100847.02426605618,100444.2408478503
2018-01-23 06:00:00+00:00,10725.91015625,102313.16473564618,100285.62187826943,101586.93011697613,99973.37244102223,101613.6764984596,100400.99657833653,100362.87259932225,99363.74818010221,100846.4579343756,100042.50433137473,99819.50791995181,99222.08617015745,100847.02426605618,100444.2408478503
2018-01-23 07:00:00+00:00,10780.0,102829.12123849777,100690.5623029651,101586.93011697613,99973.37244102223,101613.6764984596,100400.99657833653,100362.87259932225,99363.74818010221,100846.4579343756,100042.50433137473,99819.50791995181,99222.08617015745,100847.02426605618,100444.2408478503
2018-01-23 08:00:00+00:00,10850.0,102829.12123849777,100589.87174066214,101586.93011697613,99973.37244102223,101613.6764984596,100400.99657833653,100362.87259932225,99363.74818010221,100846.4579343756,100042.50433137473,99819.50791995181,99222.08617015745,100847.02426605618,100444.2408478503
2018-01-23 09:00:00+00:00,10631.2099609375,104902.66846914603,102515.64628417161,101586.93011697613,99973.37244102223,101613.6764984596,100400.99657833653,100362.87259932225,99363.74818010221,100846.4579343756,100042.50433137473,99819.50791995181,99222.08617015745,100847.02426605618,100444.2408478503
2018-01-23 10:00:00+00:00,10439.150390625,103007.53503608926,100462.3086533883,99751.69760634741,98069.12258629556,99777.96079743636,98488.6015227281,98549.7534663563,97471.11018643364,100846.4579343756,100042.50433137473,99819.50791995181,99222.08617015745,100847.02426605618,100444.2408478503
2018-01-23 11:00:00+00:00,10350.0,102127.8502301272,99604.36009202049,98899.81766647231,97231.61184455254,98925.8565697929,97647.50842900791,97708.13813476636,96638.70647323714,100846.4579343756,100042.50433137473,99819.50791995181,99222.08617015745,100847.02426605618,100444.2408478503
2018-01-23 12:00:00+00:00,10310.0,101733.1532244069,99219.41570519142,98517.59614892073,96855.83749925958,98543.53441879853,97270.12675391995,97708.13813476636,96542.0677667639,100846.4579343756,100042.50433137473,99819.50791995181,99222.08617015745,100847.02426605618,100444.2408478503
2018-01-23 13:00:00+00:00,10729.099609375,101733.1532244069,99120.19628948624,98517.59614892073,96758.98166176032,98543.53441879853,97172.85662716602,97708.13813476636,96542.0677667639,100846.4579343756,100042.50433137473,99819.50791995181,99222.08617015745,100847.02426605618,100444.2408478503
2018-01-23 14:00:00+00:00,10524.4404296875,103673.72833732102,100909.91792921617,100396.83402970288,98506.06903447422,100423.26707595792,98927.4169570517,99571.93548286638,98285.2385260492,102770.11920201869,101848.87923373788,101723.57996247963,101013.6475411544,102770.69633656077,102257.86953464813
2018-01-23 15:00:00+00:00,10362.3896484375,102077.40511382952,99157.43836154007,98850.96700729597,96795.33656320117,100423.26707595792,98828.48954009464,99571.93548286638,98186.95328752315,102770.11920201869,101747.03035450414,101723.57996247963,100912.63389361324,102770.69633656077,102155.61166511348
2018-01-23 16:00:00+00:00,10196.4697265625,100442.96791774868,97569.75492321728,97268.1907095921,95245.47449225961,98815.31551333862,97148.82707267732,99571.93548286638,98186.95328752315,102770.11920201869,101747.03035450414,101723.57996247963,100912.63389361324,102770.69633656077,102155.61166511348
2018-01-23 17:00:00+00:00,10260.099609375,101069.77057095488,98178.62762507363,97875.18153506496,95839.84279255236,99431.96099111748,97755.0730232638,100193.30255952071,98700.87786640748,102770.11920201869,101747.03035450414,101723.57996247963,100912.63389361324,102770.69633656077,102155.61166511348
2018-01-23 18:00:00+00:00,10317.7998046875,100501.3798414141,97431.24295754232,97875.18153506496,95744.0029497598,99431.96099111748,97657.31795024054,100193.30255952071,98602.17698854108,102770.11920201869,101747.03035450414,101723.57996247963,100912.63389361324,102770.69633656077,102155.61166511348
2018-01-23 19:00:00+00:00,10451.0,99203.93235479294,96173.4301643935,96611.63760675631,94413.4640279139,99431.96099111748,97657.31795024054,100193.30255952071,98602.17698854108,102770.11920201869,101747.03035450414,101723.57996247963,100912.63389361324,102770.69633656077,102155.61166511348
2018-01-23 20:00:00+00:00,10774.6103515625,96132.12875459039,93195.46465425372,93620.10320708631,91489.99505017909,99431.96099111748,97657.31795024054,100193.30255952071,98602.17698854108,102770.11920201869,101747.03035450414,101723.57996247963,100912.63389361324,102770.69633656077,102155.61166511348
2018-01-23 21:00:00+00:00,11370.0,90820.00400249261,88045.61578492372,88446.78941508768,86434.38800629418,93937.4922014069,92168.65249832862,94656.7631172332,93060.4073221238,97091.18853584415,96028.50948926852,96102.47956668837,95241.00887934111,102770.69633656077,102155.61166511348
2018-01-23 22:00:00+00:00,11183.900390625,92306.50947903613,89486.71118551788,89894.4510650983,87849.11147547083,95475.02347707523,93677.23211368122,96206.06713137735,94583.58282352447,98680.33825090792,97600.2656990149,97675.44648905685,96799.87559428625,104452.80596219232,103723.82617718763
2018-01-23 23:00:00+00:00,11234.98046875,92728.09976068667,89715.63179499395,89894.4510650983,87761.26236399535,95475.02347707523,93583.55488156754,96206.06713137735,94488.99924070094,98680.33825090792,97502.66543331588,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 00:00:00+00:00,11025.0,92728.09976068667,89625.91616319896,89894.4510650983,87761.26236399535,95475.02347707523,93583.55488156754,96206.06713137735,94488.99924070094,98680.33825090792,97502.66543331588,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 01:00:00+00:00,11128.4404296875,93598.10742357564,90376.35122987277,90737.87243876685,88496.08474119238,96370.80374491132,94367.12713670905,97108.70630803169,95280.15275388816,99606.19190989947,98319.05228175926,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 02:00:00+00:00,10980.5400390625,93598.10742357564,90285.9748786429,90737.87243876685,88407.58865645119,96370.80374491132,94272.76000957235,97108.70630803169,95184.87260113428,99606.19190989947,98220.7332294775,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 03:00:00+00:00,11050.0,94190.18403022135,90766.24272039796,91311.85596350492,88877.86459749159,96370.80374491132,94272.76000957235,97108.70630803169,95184.87260113428,99606.19190989947,98220.7332294775,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 04:00:00+00:00,10851.8203125,95879.46740005635,92209.33010524149,91311.85596350492,88788.98673289409,96370.80374491132,94272.76000957235,97108.70630803169,95184.87260113428,99606.19190989947,98220.7332294775,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 05:00:00+00:00,10600.0,93654.55058907633,89889.44096261072,89192.93218468061,86641.87841612943,94134.48530099406,91993.04228208169,97108.70630803169,95184.87260113428,99606.19190989947,98220.7332294775,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 06:00:00+00:00,10657.75,94164.79118308758,90379.16881313815,89678.86537653583,87113.91317825505,94647.34063364807,92494.23079074115,97637.7655334363,95607.7471121485,99606.19190989947,98220.7332294775,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 07:00:00+00:00,10770.3603515625,93169.84100693061,89245.36928820441,89678.86537653583,87026.7992650768,94647.34063364807,92401.7365599504,97637.7655334363,95512.13936503635,99606.19190989947,98220.7332294775,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 08:00:00+00:00,10838.3798828125,92581.43275455407,88681.74578935497,89112.50416049175,86390.70981822368,94647.34063364807,92401.7365599504,97637.7655334363,95512.13936503635,99606.19190989947,98220.7332294775,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 09:00:00+00:00,10691.6103515625,93835.13797939006,89882.64282384401,89112.50416049175,86304.31910840546,94647.34063364807,92401.7365599504,97637.7655334363,95512.13936503635,99606.19190989947,98220.7332294775,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 10:00:00+00:00,10640.240234375,93384.28709015969,89271.88097363112,88684.34417045554,85803.76198941341,94192.58734392263,91865.81498012523,97637.7655334363,95512.13936503635,99606.19190989947,98220.7332294775,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 11:00:00+00:00,10959.7998046875,93384.28709015969,89182.6090926575,88684.34417045554,85717.958227424,94192.58734392263,91773.94916514511,97637.7655334363,95512.13936503635,99606.19190989947,98220.7332294775,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 12:00:00+00:00,10947.0703125,93492.75025318582,89196.90593543358,88787.34848498588,85731.69965284687,94301.98932444076,91788.66142502968,97751.1689893125,95527.45089329957,99721.88163638531,98236.4789717766,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 13:00:00+00:00,10869.2900390625,93492.75025318582,89107.70902949815,88787.34848498588,85645.96795319402,94301.98932444076,91696.87276360465,97751.1689893125,95431.92344240627,99721.88163638531,98138.24249280481,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
2018-01-24 14:00:00+00:00,11120.1904296875,95650.88270478367,91073.45511164812,88787.34848498588,85645.96795319402,94301.98932444076,91696.87276360465,97751.1689893125,95431.92344240627,99721.88163638531,98138.24249280481,97675.44648905685,96703.07571869197,104452.80596219232,103620.10235101044
