timestamp,y_true,eq_step1_thr0.005_no_tc,eq_step1_thr0.005_tc,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc
2018-01-23 03:00:00+00:00,10699.97,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-23 04:00:00+00:00,10808.99,101018.88136134962,100917.86247998827,101018.88136134962,100917.86247998827,101018.88136134962,100917.86247998827,101018.88136134962,100917.86247998827,101018.88136134962,100917.86247998827,101018.88136134962,100917.86247998827
2018-01-23 05:00:00+00:00,10808.25,101011.96545410877,100910.95348865466,101011.96545410877,100910.95348865466,101011.96545410877,100910.95348865466,101011.96545410877,100910.95348865466,101011.96545410877,100910.95348865466,101011.96545410877,100910.95348865466
2018-01-23 06:00:00+00:00,10725.91,100242.43058625399,100142.18815566774,100242.43058625399,100142.18815566774,100242.43058625399,100142.18815566774,100242.43058625399,100142.18815566774,100242.43058625399,100142.18815566774,100242.43058625399,100142.18815566774
2018-01-23 07:00:00+00:00,10780.0,100747.94602227859,100647.1980762563,100747.94602227859,100647.1980762563,100747.94602227859,100647.1980762563,100747.94602227859,100647.1980762563,100747.94602227859,100647.1980762563,100747.94602227859,100647.1980762563
2018-01-23 08:00:00+00:00,10850.0,101402.1534639817,101300.75131051772,101402.1534639817,101300.75131051772,101402.1534639817,101300.75131051772,101402.1534639817,101300.75131051772,101402.1534639817,101300.75131051772,101402.1534639817,101300.75131051772
2018-01-23 09:00:00+00:00,10631.21,99357.38137583566,99258.02399445983,99357.38137583566,99258.02399445983,99357.38137583566,99258.02399445983,99357.38137583566,99258.02399445983,99357.38137583566,99258.02399445983,99357.38137583566,99258.02399445983
2018-01-23 10:00:00+00:00,10439.15,97562.42307221425,97464.86064914204,97562.42307221425,97464.86064914204,97562.42307221425,97464.86064914204,97562.42307221425,97464.86064914204,97562.42307221425,97464.86064914204,97562.42307221425,97464.86064914204
2018-01-23 11:00:00+00:00,10350.0,96729.24316610237,96632.51392293627,96729.24316610237,96632.51392293627,96729.24316610237,96632.51392293627,96729.24316610237,96632.51392293627,96729.24316610237,96632.51392293627,96729.24316610237,96632.51392293627
2018-01-23 12:00:00+00:00,10310.0,96355.41034227202,96259.05493192974,96355.41034227202,96259.05493192974,96355.41034227202,96259.05493192974,96355.41034227202,96259.05493192974,96355.41034227202,96259.05493192974,96355.41034227202,96259.05493192974
2018-01-23 13:00:00+00:00,10729.1,100272.24375395449,100171.97151020053,100272.24375395449,100171.97151020053,100272.24375395449,100171.97151020053,100272.24375395449,100171.97151020053,100272.24375395449,100171.97151020053,100272.24375395449,100171.97151020053
2018-01-23 14:00:00+00:00,10524.44,98359.52811082652,98261.16858271569,98359.52811082652,98261.16858271569,98359.52811082652,98261.16858271569,98359.52811082652,98261.16858271569,98359.52811082652,98261.16858271569,98359.52811082652,98261.16858271569
2018-01-23 15:00:00+00:00,10362.39,96845.03788328382,96748.19284540054,96845.03788328382,96748.19284540054,96845.03788328382,96748.19284540054,96845.03788328382,96748.19284540054,96845.03788328382,96748.19284540054,96845.03788328382,96748.19284540054
2018-01-23 16:00:00+00:00,10196.47,95294.37933003553,95199.08495070551,95294.37933003553,95199.08495070551,95294.37933003553,95199.08495070551,95294.37933003553,95199.08495070551,95294.37933003553,95199.08495070551,95294.37933003553,95199.08495070551
2018-01-23 17:00:00+00:00,10260.1,95889.05389454367,95793.16484064914,95889.05389454367,95793.16484064914,95889.05389454367,95793.16484064914,95889.05389454367,95793.16484064914,95889.05389454367,95793.16484064914,95889.05389454367,95793.16484064914
2018-01-23 18:00:00+00:00,10317.8,96428.30774291894,96331.87943517603,96428.30774291894,96331.87943517603,96428.30774291894,96331.87943517603,96428.30774291894,96331.87943517603,96428.30774291894,96331.87943517603,96428.30774291894,96331.87943517603
2018-01-23 19:00:00+00:00,10451.0,97673.171046274,97575.49787522774,97673.171046274,97575.49787522774,97673.171046274,97575.49787522774,97673.171046274,97575.49787522774,97673.171046274,97575.49787522774,97673.171046274,97575.49787522774
2018-01-23 20:00:00+00:00,10774.61,100697.57204926747,100596.87447721823,100697.57204926747,100596.87447721823,100697.57204926747,100596.87447721823,97673.171046274,97477.92237735252,97673.171046274,97477.92237735252,97673.171046274,97477.92237735252
2018-01-23 21:00:00+00:00,11370.0,95133.16392475872,94847.95469931231,100697.57204926747,100496.277602741,100697.57204926747,100496.277602741,97673.171046274,97477.92237735252,97673.171046274,97477.92237735252,97673.171046274,97477.92237735252
2018-01-23 22:00:00+00:00,11183.9,96690.26874502236,96400.39131932482,102345.75306583465,102039.02274155061,102345.75306583465,102039.02274155061,99271.84977377723,98974.33194073339,99271.84977377723,98974.33194073339,99271.84977377723,98974.33194073339
2018-01-23 23:00:00+00:00,11234.98,96248.65723852681,95960.10376412573,101878.3113803222,101572.98197923708,101878.3113803222,101572.98197923708,98818.44746452515,98522.28847865554,98818.44746452515,98522.28847865554,98818.44746452515,98522.28847865554
2018-01-24 00:00:00+00:00,11025.0,98047.5294258334,97753.58293261478,103782.40091351586,103471.36495419567,103782.40091351586,103471.36495419567,100665.34862488334,100363.65447438923,100665.34862488334,100363.65447438923,100665.34862488334,100363.65447438923
