timestamp,y_true,eq_step1_thr0.005_no_tc,eq_step1_thr0.005_tc,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc
2018-03-28 14:00:00+00:00,8040.0,107473.49273066453,106937.09177634623,107473.49273066453,106937.09177634623,107994.44100893804,107240.63657356107,109117.24045554899,108247.35171170392,108692.19884202481,107610.15498228655,104181.47518455356,103350.93463750655
2018-03-28 15:00:00+00:00,8042.92,107512.52539220352,106975.92962559834,107512.52539220352,106975.92962559834,108033.662870598,107279.58466545097,109156.87010009254,108178.37876107817,108692.19884202481,107610.15498228655,104181.47518455356,103350.93463750655
2018-03-28 16:00:00+00:00,8022.67,107241.83655790053,106706.59180116164,107241.83655790053,106706.59180116164,107761.66194641504,107009.48231587204,108882.04122954218,107906.01347957447,108692.19884202481,107610.15498228655,104181.47518455356,103350.93463750655
2018-03-28 17:00:00+00:00,8039.68,107469.21517871504,106932.83557368846,107469.21517871504,106932.83557368846,107990.14272272872,107236.36828951833,109112.89748080447,108134.80031603758,108922.65258152834,107730.47621268,104402.3650993686,103466.49354196074
2018-03-28 18:00:00+00:00,7899.16,105590.83517889997,105063.83058159737,105590.83517889997,105063.83058159737,106102.65779106504,105362.05805925504,109112.89748080447,108026.66551572154,108922.65258152834,107622.74573646733,104402.3650993686,103363.02704841878
2018-03-28 19:00:00+00:00,7867.14,105162.81263695522,104637.94430315477,105162.81263695522,104637.94430315477,105672.56052724586,104934.9628872295,108670.59792270776,107481.18033360614,108481.12419931295,107079.30016423245,103979.16013447591,102841.09110450778
2018-03-28 20:00:00+00:00,7883.34,105379.36370439759,104853.41456270411,105379.36370439759,104853.41456270411,105890.16126659221,105151.04476689264,108894.3722150615,107702.50537948105,108704.50832772923,107299.7976592129,104193.27382689506,103052.8612873052
2018-03-28 21:00:00+00:00,7925.99,105949.48117516411,105420.68657318436,105949.48117516411,105420.68657318436,106463.04222542694,105719.92699946258,109483.50638598048,108285.19137988631,109292.61530778813,107880.30495309662,104756.97438131958,103610.39204633672
2018-03-28 22:00:00+00:00,7929.42,105995.33118512259,105466.30774542228,105995.33118512259,105466.30774542228,106509.11448073298,105765.67766904557,109530.88575775661,108332.05217663637,109339.91207077997,107926.99053382396,104802.30832977624,103655.22980726235
2018-03-28 23:00:00+00:00,7905.73,105678.6586673627,105151.21574241461,105678.6586673627,105151.21574241461,106190.90697979993,105449.6912660073,109203.65038825906,108008.39845214397,109013.24725583049,107604.54697480623,104802.30832977624,103551.57457745509
2018-03-29 00:00:00+00:00,7900.2,105604.73722273577,105077.66324023511,105604.73722273577,105077.66324023511,106116.62722124527,105375.92998239389,109203.65038825906,107900.39005369182,109013.24725583049,107496.94242783143,104802.30832977624,103551.57457745509
2018-03-29 01:00:00+00:00,7873.0,105241.14530703005,104715.8860143251,105241.14530703005,104715.8860143251,105751.27289345385,105013.12583876195,109203.65038825906,107900.39005369182,109013.24725583049,107496.94242783143,104802.30832977624,103551.57457745509
2018-03-29 02:00:00+00:00,7958.74,106387.26188249362,105856.28231394001,106387.26188249362,105856.28231394001,106902.9449546611,106156.7591944606,109203.65038825906,107900.39005369182,109013.24725583049,107496.94242783143,104802.30832977624,103551.57457745509
2018-03-29 03:00:00+00:00,7932.41,106035.29956115053,105506.07663900578,106387.26188249362,105750.42603162608,106902.9449546611,106050.60243526613,109203.65038825906,107900.39005369182,109013.24725583049,107496.94242783143,104802.30832977624,103551.57457745509
2018-03-29 04:00:00+00:00,7945.58,106211.34755857127,105681.24597963941,106563.89423495553,105820.07505894163,106902.9449546611,106050.60243526613,109203.65038825906,107900.39005369182,109013.24725583049,107496.94242783143,104802.30832977624,103551.57457745509
2018-03-29 05:00:00+00:00,7886.53,105422.00555039394,104895.8435829487,106563.89423495553,105714.25498388268,106902.9449546611,106050.60243526613,109203.65038825906,107900.39005369182,109013.24725583049,107496.94242783143,104802.30832977624,103551.57457745509
2018-03-29 06:00:00+00:00,7900.0,105602.06375276734,105075.00311357401,106745.902755223,105788.91752878651,106902.9449546611,106050.60243526613,109203.65038825906,107900.39005369182,109013.24725583049,107496.94242783143,104802.30832977624,103551.57457745509
2018-03-29 07:00:00+00:00,7866.63,105155.9952885357,104631.16098016895,106295.0026571291,105342.05978474402,106451.38150236527,105497.03668160787,109203.65038825906,107900.39005369182,109013.24725583049,107496.94242783143,104802.30832977624,103551.57457745509
2018-03-29 08:00:00+00:00,7594.69,101520.87817246892,101014.186759067,102620.51141722334,101700.51064135437,102771.48443262215,101850.13017206102,109203.65038825906,107900.39005369182,109013.24725583049,107496.94242783143,104802.30832977624,103551.57457745509
2018-03-29 09:00:00+00:00,7557.08,101018.13214490669,100513.94994044656,102112.31984727095,101196.87504790403,102262.54522252787,101345.75364112016,108662.85816486318,107258.68571163357,108473.39793620167,106857.63746628682,104283.31218690761,102935.73347622964
2018-03-29 10:00:00+00:00,7618.61,101840.62518069248,101332.33790773495,102943.72179619866,102020.82341442887,103095.17031152286,102170.91418216751,109547.59481749675,108131.98954483858,109356.59199726951,107727.67595116467,105132.39042861744,103773.83968666971
2018-03-29 11:00:00+00:00,7542.5,100823.23618420855,100320.02670685215,101915.31285205942,101001.63423555344,102065.24839500398,101150.22559482616,108453.21310724257,107051.74974725638,108264.11840734797,106651.47525095254,104082.11666010559,102737.13785542328
2018-03-29 12:00:00+00:00,7544.4,100848.63414890858,100345.29791013262,101940.98591727902,101027.07713976922,102090.95922986648,101175.70593007708,108480.53310789271,107078.7167110641,108291.39077393383,106678.34138326632,104108.33555591654,102763.01794318267
2018-03-29 13:00:00+00:00,7510.37,100393.74323378115,99892.67735874593,101481.1678070562,100571.3813342623,101630.46464546052,100719.33971503009,107991.21751730081,106595.72419612885,107802.92833450367,106197.1548134566,103638.74133252332,102299.49195031293
2018-03-29 14:00:00+00:00,7476.9,99946.33803456531,99447.50516201032,101028.91649500337,100123.18448999793,101177.54799132983,100270.48349353074,107509.95413742684,106120.67983894746,107322.50406627776,105723.88668264462,103176.8747836849,101843.5937727828
2018-03-29 15:00:00+00:00,7474.89,99919.46966138265,99420.77088906623,101001.75709442895,100096.26857553808,101150.34863444896,100243.52798097582,107481.05245252853,106092.15162986665,107293.65277320534,105695.46514267055,103149.13795180069,101816.21536415312
2018-03-29 16:00:00+00:00,7492.33,100152.59624262927,99652.73393391442,101237.40880886579,100329.80765423454,101386.34703445014,100477.41063717386,107731.82130060148,106339.6799713439,107543.98439070936,105942.06795717192,103389.79981650764,102053.7673275868
2018-03-29 17:00:00+00:00,7481.32,100005.4217208675,99506.29396122068,101088.64015198793,100182.37271980516,101237.35951243104,100329.75879974607,107573.5090863077,106183.41351264753,107385.94820328278,105786.38579044829,103237.86821499252,101903.79902957045
2018-03-29 18:00:00+00:00,7390.49,98791.26533470751,98298.1974380807,99861.33251309465,98966.06798826849,100008.2462858194,99111.66466772379,106267.4692657534,104894.25071124968,106082.18554170645,104502.04326515243,101984.46700103993,100666.59462368273
2018-03-29 19:00:00+00:00,7468.0,99827.36862097042,99329.12952559121,100908.65845265887,100004.0045702503,101057.11302802646,100151.12823893427,107381.98150280245,105994.36090321653,107194.75455963865,105598.04006285894,103054.0599559388,101722.3659932782
2018-03-29 20:00:00+00:00,7496.6,100209.67482645513,99709.52763812897,101295.10564491196,100386.98723370895,101444.12875279904,100534.67433797465,107793.21940732577,106400.28467421707,107605.27544614182,106002.44605452978,103448.72333498807,102111.92941955134
2018-03-29 21:00:00+00:00,7446.06,99534.08896543426,99037.3136308682,100612.20211007031,99710.20598156909,100760.22054545618,99856.89742029979,107066.50739003177,105682.9634369315,106879.83049495754,105287.80693498279,102751.30070641641,101423.51908515119
2018-03-29 22:00:00+00:00,7442.0,99479.81752507524,98983.3130596478,100557.34282333788,99655.83851256061,100705.28055096048,99802.44996707937,107008.1288623267,105625.33929321604,106821.55375372666,105230.39825224908,102695.27506589403,101368.21742393899
2018-03-29 23:00:00+00:00,7346.96,98209.38459607992,97719.2208702916,99273.14907677379,98383.15766168266,99419.19752710087,98527.89677642213,105641.55367191075,104276.4233772758,105457.3612693469,103886.52603377371,101383.77829859189,100073.66819201596
2018-03-30 00:00:00+00:00,7100.0,94908.18387906936,94434.49646916143,95936.19108380798,95076.11575371948,96077.33027570807,95215.98962191126,102090.52874529958,100771.28580782503,101912.52776826918,100394.49443576572,97975.8738199204,96709.80162724627
2018-03-30 01:00:00+00:00,7074.99,94573.86645951787,94101.84763019047,95598.25247268037,94741.20678822644,95738.89449680729,94880.58794579237,101730.91126305734,100416.31540528225,101553.53730073616,100040.85129409832,97630.750354535,96369.13794573958
