context_length,horizon,prediction_length,scale_inputs,starting_capital,threshold,fee_rate,runtime_seconds,model_path,equity_no_tc,equity_tc,fee,cum_fee,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total,run_name
512,1,96,False,100000.0,0.005,0.001,38.865876166004455,ibm-granite/granite-timeseries-ttm-r2,379269.4677465678,5137.5225300506145,5.134406310088452,207507.84324457755,379269.4677465678,5137.5225300506145,207507.84324457755,2.427185335604885,0.6347099724857865,0.3680614277960951,3.824085709728215,25.21797736950201,0.22051227996205333,0.15610835880678825,0.6233793612311584,1156,994,1625,3775,ctx512_h1_scaleFalse
512,3,96,False,100000.0,0.005,0.001,40.15630108299956,ibm-granite/granite-timeseries-ttm-r2,193682.65058140698,8545.081449792595,8.539898338042446,131406.70402492542,193682.65058140698,8545.081449792595,131406.70402492542,0.8421401794426777,0.7300136312621811,0.32771839642686196,1.1535951431299052,2.964401240308249,0.3037427517132314,0.21823932525039536,0.4780179230363732,822,738,1255,2815,ctx512_h3_scaleFalse
512,5,96,False,100000.0,0.005,0.001,40.23729916701268,ibm-granite/granite-timeseries-ttm-r2,244406.8306983875,17136.946603563556,0.0,165175.76910742573,244406.8306983875,17136.946603563556,165175.76910742573,1.284341959326189,0.741623647468367,0.35536610477607067,1.7317974739754656,6.2589541630126995,0.33818411894969946,0.26046609722661607,0.40134978382368447,700,628,1060,2388,ctx512_h5_scaleFalse
512,20,96,False,100000.0,0.005,0.001,40.2711439160048,ibm-granite/granite-timeseries-ttm-r2,24265.665889229713,6124.086958627349,0.0,34886.59425315578,24265.665889229713,6124.086958627349,34886.59425315578,-0.7304723390541226,0.7921744507935468,0.8322575149685856,-0.9221104496899449,-0.8093362510240449,0.45310519645120406,0.36089987325728773,0.18599493029150824,343,345,544,1232,ctx512_h20_scaleFalse
