model_family,model_id,context_length,horizon,patch_size,num_samples,batch_size,starting_capital,threshold,fee_rate,runtime_seconds,equity_no_tc,equity_tc,fee,cum_fee,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total,run_name
moirai,Salesforce/moirai-1.1-R-small,512,1,16,5,4,100000.0,0.005,0.001,76.3858165841084,215159.03258749165,1181.5833569579372,0.0,152548.26687123012,215159.03258749165,1181.5833569579372,152548.26687123012,1.0298500745606796,0.6811787253349089,0.36251985845383183,1.5118647078332381,4.294920528570185,0.24855064825550754,0.1739222093390956,0.5775271424053968,1394,1207,1682,4283,ctx512_h1_ps16_ns5
moirai,Salesforce/moirai-1.1-R-small,512,1,16,10,4,100000.0,0.005,0.001,97.83100479096174,219163.30369065714,1657.937569439471,0.0,168429.45713912958,219163.30369065714,1657.937569439471,168429.45713912958,1.0647308567669898,0.659832727082204,0.40445319348970343,1.6136375373123049,4.247932035818243,0.2401180562875514,0.15958680299357014,0.6002951407188785,1312,1129,1641,4082,ctx512_h1_ps16_ns10
moirai,Salesforce/moirai-1.1-R-small,512,1,16,20,4,100000.0,0.005,0.001,140.68728716718033,299583.1999241129,2713.5141144965532,0.0,228619.69022417316,299583.1999241129,2713.5141144965532,228619.69022417316,1.7560918718257077,0.6754397463340528,0.4738873916435179,2.5999237998013753,9.63457802994674,0.23474227890797933,0.1540002108147992,0.6112575102772214,1267,1084,1556,3907,ctx512_h1_ps16_ns20
moirai,Salesforce/moirai-1.1-R-small,512,3,16,5,4,100000.0,0.005,0.001,78.7246555830352,208502.82808589996,1252.947288790548,0.0,121706.66082247718,208502.82808589996,1252.947288790548,121706.66082247718,0.9720411068668426,0.6820828330442845,0.3179603820549286,1.4251071274267542,4.356714822755561,0.2496573537163943,0.17490774907749077,0.575434897206115,1349,1207,1660,4216,ctx512_h3_ps16_ns5
moirai,Salesforce/moirai-1.1-R-small,512,3,16,10,4,100000.0,0.005,0.001,105.11820258409716,192775.99586274414,1557.894447891971,0.0,152856.43413865968,192775.99586274414,1557.894447891971,152856.43413865968,0.8341692990714882,0.6661501918892033,0.40717874075657245,1.2522240618227285,2.5653767335451354,0.23668950975224037,0.15677385345282024,0.6065366367949394,1304,1104,1624,4032,ctx512_h3_ps16_ns10
moirai,Salesforce/moirai-1.1-R-small,512,3,16,20,4,100000.0,0.005,0.001,144.1591115000192,221245.10863563613,2147.301951977749,2.1494514033811303,180467.75905385683,221245.10863563613,2147.301951977749,180467.75905385683,1.0831683233337301,0.6620398788596514,0.46281145347364416,1.636107367428474,3.8291612289849777,0.23141802846599896,0.1528729573010016,0.6157090142329995,1240,1076,1576,3892,ctx512_h3_ps16_ns20
moirai,Salesforce/moirai-1.1-R-small,512,5,16,5,4,100000.0,0.005,0.001,81.91662033298053,172178.0201198982,888.6478753016261,0.0,139362.76933708412,172178.0201198982,888.6478753016261,139362.76933708412,0.6524609123588094,0.6908289464747972,0.4485838134948791,0.9444608765863468,1.3737094087808932,0.2575134451123062,0.17494463777285668,0.567541917114837,1428,1204,1683,4315,ctx512_h5_ps16_ns5
moirai,Salesforce/moirai-1.1-R-small,512,5,16,10,4,100000.0,0.005,0.001,104.89626466715708,113308.49820039741,918.4047506510724,0.9193240747257981,143487.40812598146,113308.49820039741,918.4047506510724,143487.40812598146,0.12242859479349755,0.6692441555891914,0.5836166722447422,0.1829356203876199,0.03837544745867184,0.24201202151217968,0.15849414742170198,0.5994938310661183,1311,1095,1584,3990,ctx512_h5_ps16_ns10
moirai,Salesforce/moirai-1.1-R-small,512,5,16,20,4,100000.0,0.005,0.001,152.7909167080652,179464.03505023872,1614.2715219814463,1.615887409390837,149294.2874236688,179464.03505023872,1614.2715219814463,149294.2874236688,0.7169973777606455,0.662064826369569,0.47977822189905595,1.0829715598883256,1.6184306272923248,0.23273225772434883,0.15195613202573025,0.6153116102499209,1286,1068,1620,3974,ctx512_h5_ps16_ns20
moirai,Salesforce/moirai-1.1-R-small,512,20,16,5,4,100000.0,0.005,0.001,84.15236575016752,240092.3206138887,1468.9611943054738,0.0,175676.08890144774,240092.3206138887,1468.9611943054738,175676.08890144774,1.2499252324548515,0.6743416749706623,0.45233138899823055,1.8535488445219264,5.121902938211863,0.2466201943388255,0.17036332910857627,0.5830164765525983,1388,1159,1628,4175,ctx512_h20_ps16_ns5
moirai,Salesforce/moirai-1.1-R-small,512,20,16,10,4,100000.0,0.005,0.001,110.33707562508062,210900.1655714982,1759.7788895382762,0.0,138621.47989585355,210900.1655714982,1759.7788895382762,138621.47989585355,0.9954563979477036,0.6656360748744816,0.3328598170381253,1.4954964664969757,4.472457922165127,0.23669201520912547,0.16085762568652304,0.6024503591043515,1283,1109,1589,3981,ctx512_h20_ps16_ns10
moirai,Salesforce/moirai-1.1-R-small,512,20,16,20,4,100000.0,0.005,0.001,147.64907612488605,157385.75742110392,1559.930555525557,0.0,138481.02130217812,157385.75742110392,1559.930555525557,138481.02130217812,0.5218007130938522,0.6722806958411415,0.5074358175478393,0.7761649506252559,0.7981372435865365,0.23067173637515842,0.1520912547528517,0.6172370088719898,1258,1048,1555,3861,ctx512_h20_ps16_ns20
